name,genres
Νίκος Καλλέργης,[]
Athanasios Giannopoulos,[]
Michel Manoll,[]
Ματθαίος Φελώνης,[]
Gentlemen Prefer Blondes Orchestra,[]
Ροζίτα Σεράνο,[]
Antonio Prió,[]
Mestizo musicians from the southern Peruvian Andes,[]
West Side Story Ensemble & Orchestra,[]
ChixUnighted,[]
Petros Epitropakos,[]
"Pablo Casals, Paul Baumgartner, John Wummer, Bernard Goldberg, Prades Festival Orchestra",[]
Douw Fonda,[]
Afroula,[]
Ιωάννης Τατασόπουλος,[]
Jacquelyn McKeever,[]
Ρένος Τάλμας,[]
Alabama Jr.Pettis,[]
Charlotte Wolf-Matthaus,[]
Antonio Beltrami,[]
"Leonard Bernstein, Isaac Stern, Lucas Foss, New York Philharmonic",[]
Royalton Kisch,[]
Glauco Vianna,[]
"Marilyn Cooper, Chita Rivera, Shark Girls",[]
Kurt Hiltawsky,[]
Ervin M. Drake,[]
Stauros Tzouanakos,[]
Original Broadway Cast of Gentlemen Prefer Blondes,[]
Maina,[]
Marjorie Mazia,[]
Δημήτρης Χαλκιάς,[]
Jacqueline Blancard,['swiss classical piano']
Mohini,[]
Stella Xaskil,[]
Georgia Tzoi,[]
João De Barro,[]
Gerda M. Beilenson,[]
J. D. Mazumder,[]
Άννα Μπέλλα,[]
Ν.Φραγγιά,[]
Β.Μπατζής,[]
Vaggelis Livanos,[]
Τούλα Αμπρατζή,[]
Τώνης Μαρούδας και τριφωνία,[]
Filipopoulos,[]
Mimì Ferrari,[]
Tzivanis,[]
Orchestre Colonne,[]
Hermann Abendroth,['historic orchestral performance']
RIAS Kammerorchester,[]
Marcia Henderson,[]
Columbia String Orchestra,[]
Ηλίας Λήτος,[]
Todd Rhodes Orchestra,[]
Miss Sita Devi,[]
Skitch Henderson & His Orchestra,[]
Γ.Μητσάκης,[]
Nandu Honap,[]
Robert Lowell,['poetry']
Eleni Legaki,['nisiotika']
Jay Velie,[]
Yesari Asım Ersoy,[]
Ntouo Xarmo,[]
Milton Kay,[]
Günter Kootz,[]
D.Filipopoulos,[]
Manmohan Sharma,[]
Markos Mavmakaris,[]
Makis Vasiliadis,[]
Gerogia Vasilopoulou,[]
Ila Mitra,[]
George Gaynes,[]
Kostas Skafidas,[]
Apostolis Kaldaras,[]
Quechua tinya and quena players from Quispicanchis,[]
Youth Band GKI RAHA,[]
Sukhendu Goswami,[]
Staatskappe Dresden,[]
Euaggelia Markopoulou,[]
Maíri Zanét,[]
Revamma,[]
Walter Hauck,[]
Ruma Debi,[]
Rex Evans,[]
Omkarnath Thakur,"['hindustani vocal', 'indian classical']"
Wolf-Dieter Hausschild,[]
Grosses Opernorchester,[]
Άννα και Αιμιλία Χατζιδάκη,[]
Μανώλης Παπαγεωργίου,[]
Maria Saltou,[]
Sandra Hillawi,[]
Panos Samis,[]
Christian Duvaleix,[]
Sankara Sastry,[]
Níki Kiriakídou,[]
Julita Bermejo,[]
Κούλα Μιχαηλίδου,[]
Ta Nagaswami Bhagavatar,[]
Swiss Romande Orchestra,[]
G.Dimakis,[]
Shyamal Dutta,[]
Maíri Línta,[]
Georgia Milana,[]
Κίτσος Χαρισιάδης,[]
Gerda Neumann,[]
Stick McGhee,['jump blues']
Dock Reed,"['deep delta blues', 'spirituals']"
Mamlê,[]
"Female Sundanese singer, katjapi player",[]
Άλκης Παγώνης,[]
Javanese gamelan ensemble,['gamelan']
Katina Meidani,[]
RIAS Knabenchor,"[""children's choir""]"
Μαριώ Μαρκοπούλου,[]
Απ.Χατζηχρήστος,[]
Tapan Kumar,[]
James Brown,"['funk', 'motown', 'soul']"
Donna Summer,"['dance pop', 'disco', 'hi-nrg', 'motown', 'new wave pop']"
Barry White,"['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
B.B. King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']"
Astrud Gilberto,"['adult standards', 'bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']"
Disney Studio Chorus,['disney']
Steel Pulse,"['dub', 'reggae', 'roots reggae', 'uk reggae']"
Tennessee Ernie Ford,"['bluegrass gospel', 'country boogie', 'country gospel', 'yodeling']"
Sonny Rollins,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz']"
Jaci Velasquez,"['christian alternative rock', 'christian music']"
Kay Starr,"['adult standards', 'big band', 'deep adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
Ray Price,"['country', 'honky tonk', 'nashville sound', 'traditional country']"
Pete Seeger,"['american folk revival', 'appalachian folk', 'banjo', 'folk', 'folk rock', 'old-time', 'traditional folk']"
Woody Guthrie,"['american folk revival', 'appalachian folk', 'folk', 'old-time', 'singer-songwriter', 'traditional blues', 'traditional folk']"
Serge Gainsbourg,"['chanson', 'french indie pop', 'french pop', 'french rock']"
Kold-Blooded,['dark trap']
Jimmy Dean,['nashville sound']
Ahmad Jamal,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']"
Ahmad Jamal Trio,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'soul jazz', 'stride']"
Kathryn Beaumont,"['disney', 'movie tunes']"
Gerry Mulligan,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'swing', 'vocal jazz']"
Flatt & Scruggs,"['appalachian folk', 'banjo', 'bluegrass', 'bluegrass gospel', 'old-time', 'progressive bluegrass', 'traditional country', 'traditional folk']"
George Malcolm,['harpsichord']
Verna Felton,"['disney', 'movie tunes']"
John Alldis Choir,"['british choir', 'opera', 'opera chorus']"
Jagjit Singh,"['classic bollywood', 'desi pop', 'filmi', 'ghazal', 'sufi']"
Rahzel,"['beatboxing', 'east coast hip hop', 'hip hop', 'turntablism']"
Dalida,"['chanson', 'french pop']"
Polish National Radio Symphony Orchestra,"['orchestra', 'radio symphony']"
Sujatha,"['deep indian pop', 'filmi']"
John Cage,"['american contemporary classical', 'avant-garde', 'classical', 'contemporary classical', 'experimental', 'free improvisation']"
The Jud Conlon Chorus,"['disney', 'movie tunes']"
Jacques Brel,"['belgian singer-songwriter', 'chanson', 'french pop', 'french rock']"
Dietrich Fischer-Dieskau,"['art song', 'choral', 'classical', 'classical baritone', 'classical performance', 'opera']"
J. Pat O'Malley,"['disney', 'movie tunes']"
Paris Combo,['chanson']
Sister Rosetta Tharpe,"['blues', 'gospel blues', 'traditional blues']"
Mary Ford,[]
Georges Brassens,"['chanson', 'french pop', 'french rock']"
Anatoly Lyadov,"['post-romantic era', 'russian romanticism']"
Johnny Hallyday,"['chanson', 'francoton', 'french pop', 'ye ye']"
Lee Konitz,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'stride']"
Hermanas Huerta,"['mariachi', 'ranchera']"
Bill Thompson,"['disney', 'movie tunes']"
Percy Faith & His Orchestra & Chorus,['easy listening']
Thelonious Monk Trio,"['jazz', 'jazz trio']"
Souad Massi,"['afropop', 'arab alternative', 'arab folk', 'classic arab pop', 'world']"
Alberto Beltran,['bolero']
Edwynn,[]
Wynton Kelly,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']"
Tal Farlow,"['bebop', 'cool jazz', 'jazz guitar', 'soul jazz']"
Sandy Denny,"['british folk', 'folk', 'folk rock', 'traditional folk']"
Johann Strauss I,"['classical', 'early romantic era']"
Edgar Allan Poe,"['german literature', 'hoerspiel']"
Czech Philharmonic Chamber Orchestra,"['chamber orchestra', 'scorecore']"
Alfred Hause,"['ballroom', 'easy listening']"
Gil Evans,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'soul jazz']"
Johann Christian Bach,['classical era']
Charlotte Greenwood,[]
Hubert Parry,"['anglican liturgy', 'british modern classical', 'late romantic era', 'victorian britain']"
Trio Matamoros,"['bolero', 'bolero cubano', 'latin jazz', 'musica tradicional cubana', 'son cubano', 'trio cubano']"
Helen O'Connell,[]
James Moody,"['bebop', 'cool jazz', 'hard bop', 'soul jazz']"
Jeremiah Clarke,"['classical', 'early music', 'english baroque']"
Jerry Colonna,['movie tunes']
Joe Brown,"['classic uk pop', 'merseybeat', 'rock-and-roll']"
James Macdonald,[]
Émile Waldteufel,"['french romanticism', 'post-romantic era']"
Carlos Di Sarli,"['orquesta tipica', 'tango', 'tango cancion', 'vintage tango']"
Sam Price Trio,[]
Anatole Fistoulari,[]
Gennady Rozhdestvensky,[]
Coro dell'Accademia Nazionale Di Santa Cecilia,['opera chorus']
Vani Jairam,"['classic bollywood', 'filmi']"
Coro Del Teatro Alla Scala Di Milano,"['opera', 'opera chorus']"
Cisco Houston,"['american folk revival', 'appalachian folk', 'folk', 'old-time', 'traditional folk']"
MDR Leipzig Radio Symphony Orchestra,"['german orchestra', 'radio symphony']"
Wiener Opernorchester,[]
Orchestre de Chambre de Lausanne,['chamber orchestra']
Leopold Mozart,"['classical era', 'galante era']"
Malaysia Vasudevan,"['deep indian pop', 'filmi']"
Jimmy Giuffre,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz clarinet', 'jazz saxophone']"
Antonio Lotti,['baroque']
Original Broadway Cast,[]
Manhar Udhas,"['classic bollywood', 'filmi', 'ghazal']"
String Orchestra,[]
Adil,['turbo folk']
Gary Graffman,['american classical piano']
David Rose Orchestra,['easy listening']
USSR State Symphony Orchestra,"['orchestra', 'russian orchestra']"
Rudyard Kipling,['reading']
Hemlata,"['classic bollywood', 'filmi', 'ghazal']"
A. M. Rajah,"['deep indian pop', 'filmi']"
Hans J. Salter,[]
Ryland Davies,['classical tenor']
Mario Rossi,[]
Machito Orchestra,['jazz cubano']
Adolph Deutsch,['classic soundtrack']
Tri Yann,"['chanson', 'french rock']"
Gunther Schuller,"['american modern classical', 'contemporary classical']"
Tadd Dameron Sextet,[]
Orchestra Sinfonica di Roma della RAI,['italian orchestra']
Daniil Shafran,"['cello', 'classical cello']"
Fernando Corena,"['classical bass', 'opera']"
Jack Benny,[]
Jose Reinoso,['jazz pop']
The Rhythmaires,[]
Antonio Janigro,"['classical cello', 'historically informed performance']"
Heather Harper,['classical soprano']
Rube Bloom,['tin pan alley']
Leó Weiner,[]
The Louisville Orchestra,['american orchestra']
Edwin Fischer,"['historic piano performance', 'swiss classical piano']"
Lopamudra Mitra,['bangla']
Richard Haydn,['movie tunes']
Danny Thomas,[]
Franco Ghione,[]
Vera Hall,['spirituals']
Bill Clifton,['traditional bluegrass']
Marika Rossa,"['dark techno', 'ukrainian electronic']"
Gino Bechi,"['italian baritone', 'vintage italian pop']"
Gebrüder Grimm,['kleine hoerspiel']
Kathryn Grayson,['vintage hollywood']
Padmini Kolhapure,[]
Robert Frost,['poetry']
Bonnie Brae,[]
Harold Courlander,[]
James Moody And His Swedish Crowns,[]
Edmundo Ros,"['ballroom', 'easy listening', 'lounge', 'mambo']"
Dizzy Reece,"['british jazz', 'hard bop', 'jazz trumpet']"
Marcel Azzola,"['accordeon', 'accordion', 'bal-musette', 'jazz accordion']"
Geraint Evans,['classical bass']
Franco Capuana,['opera']
Fritz Lehmann,[]
Alec Wilder,['tin pan alley']
The Voices Of Walter Schumann,[]
Kunnakudi Vaidyanathan,"['carnatic', 'carnatic instrumental', 'indian classical', 'indian violin']"
Anton Dermota,['classical tenor']
Vico Torriani,"['classic schlager', 'vintage schlager', 'volksmusik']"
Arthur Schwartz,[]
Celeste Mendoza,"['bolero cubano', 'cuban rumba', 'latin jazz', 'musica tradicional cubana']"
Franz Bierbach,[]
Charles Fox,[]
Kenneth Nelson,[]
Hilde Rössel Majdan,['classical contralto']
Jan Peerce,['jewish cantorial']
Benjamin Luxon,['classical baritone']
Hermanas Lima,[]
Konstantin Ivanov,[]
Roberto Faz,"['bolero cubano', 'musica tradicional cubana']"
John Blow,"['baroque', 'english baroque']"
Melchiorre Luise,['italian bass']
Emmy Loose,[]
Ava Gardner,['vintage hollywood']
Nils Grevillius,[]
Jean Constantin,['french soundtrack']
Ken Griffin,[]
Las Atlixqueñas,[]
Jacobus Gallus,['renaissance']
Guido Cantelli,['historic orchestral performance']
Donald McIntyre,['classical bass']
Isaac Asimov,"['drama', 'oratory', 'reading']"
Stephen Douglass,[]
Orchestra Sinfonica e Coro di Torino della RAI,[]
Baby Dodds,"['jazz drums', 'new orleans jazz']"
Red Norvo Trio,[]
Ferdinand Grossmann,[]
Pippi Langstrumpf,"['kindermusik', 'kleine hoerspiel']"
Victor Borge,['comic']
Anna Maria Canali,['italian mezzo-soprano']
Coro di Roma della RAI,[]
Dilraj Kaur,['classic bollywood']
Hemanta Mukhopadhyay,[]
Jorge Mester,[]
Banda Los Guamuchileños De Culiacan,[]
Jean Christophe Benoit,[]
The Anchoress,['chamber psych']
Martina Arroyo,['classical soprano']
Devid Dega,['italian techno']
Septeto Nacional,"['musica tradicional cubana', 'son cubano']"
New Music String Quartet,[]
Patty Andrews,[]
Felix Prohaska,[]
Eleanor Steber,['classical soprano']
Cecilia Okugo,[]
Rosanna Carteri,"['classical soprano', 'italian soprano']"
Joseph James,[]
Georg Ludwig Jochum,[]
David Burns,[]
Jagjit Kaur,"['classic bollywood', 'ghazal']"
Illinois Jacquet And His Orchestra,[]
Ludwig Suthaus,[]
Surendar,[]
Chubby Jackson Big Band,[]
Otakar Kraus,[]
Karl Dönch,[]
J. P. Chandrababu,[]
Oralia Dominguez,['classical mezzo-soprano']
Archana,[]
Mirto Picchi,['italian tenor']
Michael Coleman,"['chicago blues', 'soul blues']"
Inge Borkh,['classical soprano']
Maura Mauri,['vintage italian pop']
Guido Picco,[]
Giacinto Prandelli,['italian tenor']
Coro di Milano della RAI,[]
Gerhard Winkler,[]
Shammi,[]
Roberto Silva,"['samba', 'velha guarda']"
Minoo Purushottam,[]
GRACE STARK,[]
Giacomo Vaghi,['italian bass']
Johanna Martzy,['violin']
Henry Cummings,[]
Magda Olivero,"['classical soprano', 'italian soprano']"
Carl Sigman,['tin pan alley']
Jean Cocteau,['early avant garde']
Salvatore Cammarano,[]
Butch Hawes,[]
Diana Eustrati,[]
Ferruccio Tagliavini,"['classical tenor', 'italian tenor', 'vintage italian pop']"
Vittorio Pandano,[]
Michael Langdon,['classical bass']
Gino Penno,['italian tenor']
Kölner Rundfunk-Sinfonie-Orchester,['german orchestra']
Ignacio Ruffino,[]
Sundaram Balachander,"['carnatic', 'carnatic instrumental', 'indian classical', 'veena']"
Yakov Zak,[]
The McGhee-Navarro Boptet,[]
MAC MacLAIN,[]
Krishna Kalle,['marathi traditional']
Caroline Henderson,"['classic danish pop', 'danish jazz']"
The Rosettes,[]
Giuseppe Campora,['italian tenor']
Mario Petri,['italian bass']
Karl Eliasberg,[]
Pete Roberts,[]
Robert Wagner,[]
Ferdinand Frantz,['classical bass']
Saul Chaplin,['tin pan alley']
Stafford Dean,[]
Antonio Zerbini,['italian bass']
MGM Children's Chorus,[]
Flo Sandon,[]
Jamal Sen,[]
Rhydderch Davies,[]
Dumbarton Oaks Festival Orchestra,[]
Moti Sagar,[]
E. Mullaney,[]
Alec McCowen,[]
Madhubala Jhaveri,[]
Riverside Orquesta,[]
Edgar Leslie,[]
Mack Harrell,[]
Orchestre Philharmonia,[]
Else Schurhoff,[]
Eastern Serbian performers with violin and clarinet,[]
Chorus of Croatian women,[]
Cristiano Dalamangas,[]
Ingeborg Brams,[]
Erik Tuxen,[]
"Lee Hays, Pete Seeger, and Bess Lomax",[]
Annie Grace Horn Dodson,[]
On The Waterfront,[]
Joan Clarke,[]
Cisco Houston and Woody Guthrie,[]
Tony Crombie Orchestra,[]
Sonik - Girdhar,[]
Old Harp Singers of Eastern Tennessee,['vintage gospel']
Marge Champion,[]
Joseph Kubera,[]
Obdulia and Angel Alverez,[]
Frantisek Maxian,['czech classical piano']
Gower Champion,[]
Carpatho Ukrainian Village Orchestra,[]
Charles Magnante,['accordion']
Chere Maman,[]
Die Starlets,[]
David Kusevitsky,['jewish cantorial']
Fred Weyrich,[]
William Redfield,['drama']
V. Sakunthala,[]
Rudolf Gonszar,[]
Shamoo,[]
Luciano Neroni,['italian bass']
Sipra Basu,[]
T.G. Lingappa,[]
Peter Flynn,[]
Pramodini Desai,[]
Bodil Steen,[]
V N Sundaram,[]
Sigurd Björling/Brünnhilde Friedland/Lieselotte Thomamüller/Elfriede Wild/Ruth Siewert/Eleanor Lausch/Hertha Töpper/Ira Malaniuk/Hanna Ludwig/Festspiel-Orchester Bayreuth /Herbert von Karajan,[]
Batra,[]
Mangalam,[]
Kurt Preger,[]
Renata Broilo,[]
Carla Gavazzi,['italian soprano']
Mixed singers with tcherawata and coboro,[]
V.N. Sundaram,[]
Murari Sharma,[]
Josef Wenzig,[]
Svend Erik Tarp,['danish classical']
"Pete Seeger, Bess Lomax, and Tom Glazer",[]
"Rudolf Serkin, The Philadelphia Orchestra, Eugene Ormandy, Marlboro Festival Orchestra, Alexander Schneider",[]
Ponna U Hla Maung,['burmese traditional']
Libera Borderau and Ti Yogan,['haitian traditional']
Gangai Amaran,[]
Libera Borderau,['haitian traditional']
Kaifi Azmi,[]
Luigi Pizzeri,[]
Les Tamaru Tahiti,[]
Lis Løwert,[]
Anthony Lewis,[]
James Moody And His Cool Cat,[]
Edmond Defrancesco,[]
Enzo Mascherini,['italian baritone']
Orchestra Sinfonica di Milano della RAI,['italian orchestra']
Abdul Khader,[]
Joan Bowman,[]
Floride Calhoun,[]
Edmée Louin,[]
A Tree Grows in Brooklyn Ensemble,[]
Prague Smetana Theatre Orchestra,[]
Lawson-Haggart Jazz Band,[]
Theodor Uppman,[]
S. R. (Shiyali Ramamrita) Ranganathan,[]
Niranjan,[]
"Male chorus, drummers",[]
James Agee,['poetry']
Swaraj,[]
wanderley explosao,[]
Henriot Gwenaël,[]
Gustav Winckler,"['classic danish pop', 'dansktop']"
B. D. Vyas,[]
Walter Kollo,['operetta']
S V Venkataraman,[]
Jerome Courtland,[]
Male vocalist,[]
Maximilian Pilzer,[]
Emilio Renzi,['italian tenor']
Out of This World Ensemble,[]
Castle Hill Orchestra,[]
Mixed singers with tcherawata,[]
Siegfried Translateur,[]
E. Shankar Shastri,[]
Arjun,[]
Erwin Halletz,[]
Shankar - Ganesh,[]
William C. Smith,[]
Berliner Motettenchor,['german choir']
Nikolay Litvinov,[]
Orchestra Lirica di Torino della Rai,[]
Manno Wolf-Ferrari,[]
Coro Lirico di Milano della Rai,[]
Shirzad,[]
Licia Rossini,[]
"Two female Bokharian singers, three doyra players",[]
Herman Schey,[]
Female singer from Anjou,[]
Orchestra Sinfonica e Coro di Milano della RAI,[]
Oleska Suyhodolyak,['ukrainian folk']
V.J.Varma,[]
Nomi Mitty,[]
Ion Papuc,[]
Davi do Pandeiro,[]
Ali Sadykhov,['azeri traditional']
Patti Milligan,[]
Orchester Cedric Dumont,[]
Guillermo Portables,['son cubano']
"Chor der Staatlichen Hochschule für Musik, Frankfurt am Main",[]
"Itinerant Sudanese workers in Gura Valley, Eritrea",[]
Wiener Akademie-Chor,['austrian choir']
Joseph Crawford,[]
Swami Nikhilananda,[]
Berlin Motet Choir,[]
Bill Reilly,[]
Sujata Chakraborty,[]
Al Goodman and his Orchestra,[]
Vijayalakshmi Sarma,[]
Virgilio Fernandez,[]
Johnny Johnston,[]
Ramesh Thakur,[]
Coro di Torino della RAI,[]
Three Lucumi drummers,[]
Adelaide Van Wey,['american folk revival']
Pt.Nagarkar,['marathi traditional']
Elith Foss,[]
T.N. Rajarathnam Pillai,"['carnatic instrumental', 'indian classical']"
Doris Dalton,[]
Nedime Münevver Birses,[]
Vaclav Trojan,[]
Esy Morales,[]
Peter Cornelius,['austropop']
Shankar Shambhu Qawwal,[]
Make a Wish Ensemble,[]
Out of This World Orchestra,[]
Two male singers with iya drum and atchere,[]
Los Siete Gauchos,[]
Festspiel-Orchester Bayreuth /Herbert von Karajan,[]
Magda Laszlo,[]
Ivan Martishchuk,[]
Astrid Varnay/Leonie Rysanek/Brünnhilde Friedland/Lieselotte Thomamüller/Elfriede Wild/Ruth Siewert/Eleanor Lausch/Hertha Töpper/Ira Malaniuk/Hanna Ludwig/Festspiel-Orchester Bayreuth /Herbert von Karajan,[]
Eberhard Storch,[]
Lee Abrams,[]
Maung Su,['burmese traditional']
Christophe Oxilas,['haitian traditional']
Ali Mohammed,['belly dance']
"Chorus, drummers",[]
"Cult priest with bell, spectators",['haitian traditional']
Dick Kallman,[]
Catalonian cobla group,[]
Shirley Booth,[]
Minal Wagh,[]
Padmanabham,[]
Sigrid Horne Rasmussen,[]
Giulio Neri,['italian bass']
Maurice Ellis,[]
Ezio Achilli,[]
Alonzo Bosan,[]
Bernie Leighton,[]
Sherry McCutcheon,[]
Karl Paul,[]
Leontina Niga,[]
Kalayani,[]
Bodil Kjer,[]
Futebol Clube de Penafiel,[]
"Male Hebrew vocalist, congregation",[]
Bartoleme Estaras,[]
Dumbarton Oaks Chamber Orchestra,[]
Abdul Halim Chowdhry,[]
Raimundo Lanas,['folclore navarra']
Male Hebrew Yemenite vocalist,[]
Shahir Amar Sheikh,[]
Friedrich Schröder,[]
Gaetano Riccitelli,[]
Enoch Brown,[]
Bruno Franchi,[]
Sanat Sinha,[]
Erich Meder,[]
Joseph Crawford,[]
Holger Fællessanger,[]
Roy Hogsed,['western swing']
Willie Turner,[]
Jean Gilbert,['operetta']
Dattopant,[]
Shonazar Sakhebov,['uzbek traditional']
Male Hebrew vocalist,[]
Girl with accordion accompaniment,[]
Les Petits Chanteurs de Vincennes,['musique pour enfants']
The Delta,[]
Walter Barylli,['historic classical performance']
K. P. Udayabhanu,[]
Orchestra Lirica e Coro di Torino della Rai,[]
Lionel Hampton and his Sextet,[]
"Mbilta players from Gura Valley, Eritrea",[]
A Tree Grows in Brooklyn Orchestra,[]
G. Ramakrishna,[]
Michele Calvino,[]
Gino Del Signore,['italian tenor']
Gordon Clinton,[]
August Heimpel,[]
Edward Vito,[]
August Jaresch,[]
Ramesh Deo,[]
Members of the Concertgebouworkest,[]
Mighty Iceberg,[]
Morgina Lavache,['haitian traditional']
Fernando gogo de ouro,[]
Accordion player from Vendée,[]
Satish Bhatia,[]
Erich Majkut,[]
Greek Orthodox Church Choir,['orthodox chant']
Rino Salviati,['vintage italian pop']
Werner Pech,[]
Mark Olf,['israeli folk']
Habib,[]
Elizabeth Pacetti,[]
Surya Kumar,[]
Bayerisches Staatsopernorchester,[]
Madhavi,[]
Babaji,[]
Jose Martinez,[]
Frederick Dalberg,[]
Lena Hibbert,['haitian traditional']
Casino Conjunto,[]
Tamburica orchestra,[]
Pt. Maniram,[]
Sigbrien Bellis,[]
Devinder,[]
Giorgio Kokolios-Bardi,[]
Rupe Faraui,[]
Tukua Tauhere Teuria,[]
Master Dattopant and Group,[]
Stefii Leverenz,[]
Delbert Anderson,[]
John A. MacLellan,['pibroch']
The Magic Voices,[]
Pierre Rochas,[]
Orchestra lirica di Milano della RAI,[]
Italo Montemezzi,['italian opera']
Carlo Krahmer's Chicagoans,[]
"Masonquo player from Gura Valley, Eritrea",[]
Jany Sylvaire,[]
Richard Frances,[]
Debesh Bagchi,[]
Raphael Arié,[]
Mahmood,[]
East York School (Ala.),[]
Jim Moore,[]
Original Broadway Cast Of 'Flahooley,[]
Female Bokharian singer,[]
Helen Wood,[]
The Cuban All Stars,[]
Chitti,[]
Bhola Shreshtha,[]
Three drummers,[]
Alfredito Valdes,[]
San Carlo Theatre Orchestra,[]
Karen Thisted,[]
George Jongeyans-Gaynes,[]
Victor Desarzens,[]
Unidentified accordion player,[]
Max Miller,['music hall']
Chor des Süddeutschen Rundfunks,[]
Orchestra Angelini,[]
Georg Melchior Hoffmann,[]
The Original Broadway Cast Of A Tree Grows In Brooklyn,[]
Two kaval players,[]
Liam Walsh,[]
Fay DeWitt,[]
Vienna Philharmonic Quartet,[]
Group of Montenegrin men and women,[]
Orchestra di Torino Della RAI,[]
Carlinhos sabiá,[]
Aleanne Francois,['haitian traditional']
Viva Zapata!,[]
Ti Yogan,['haitian traditional']
P. Bhaskaran,[]
"Tcherawata player from Gura Valley, Eritrea",[]
Marcel Charles Henri Robillard,[]
Marcello Rossi,['italian baritone']
"Shiloh Primitive Baptist Church (Bogue Chito, Miss.)",[]
Georges Simon,[]
Earthy Anne,[]
Bob Wright,[]
Indrani,[]
Banda Mochis De Porfirio Amarillas,[]
Two male Iranian singers,[]
Kim D Johnson,[]
MARGE,[]
Renato Pasquali,[]
Undine Von Medvey,[]
Jyothi Menon,[]
Geschwister Schmid,[]
Alfred Pfeifle,[]
John Sharpe,[]
Maha Rani,[]
Manola El De Badajoz,['flamenco']
"Mixed Bokharian singers, doyra players",[]
Mogens Wieth,[]
Ywan Kawaciuk,[]
Otakar Parik,[]
Price Coleman,[]
Rosie Hibler and family,['vintage gospel']
Guys & Dolls,[]
Telliyavaram Mahadevan Ponnambalam Mahadevan,[]
Mukta,[]
"Male Hebrew Yemenite singers, drummer",[]
Mikhail Terian,[]
Oscar J. Fox,[]
Patrick J. Toohey,[]
Kumari Shyamala,[]
Hans Kurt,['dansktop']
Gustavo Gallo,[]
Sankar Ganesh,[]
Shirley R. Cohen,[]
Gianna Galli,['italian soprano']
Michael Lanner und seine Wiener-Walzer-Solisten,[]
Two Abakwa society male Lucumi singers with iya drum and atchere,[]
Pithapuram,[]
Red Willie Smith,[]
Orchester des Süddeutschen Rundfunks,[]
Poul Mourier,[]
Yodeler with accordion,[]
Dody Heath,[]
Make a Wish Orchestra,[]
Maria Garland,[]
Philipp Haas,[]
Giovanni Inghilleri,['italian baritone']
The Flanagan Brothers,['irish fiddle']
Poul Reichhardt,"['classic danish pop', 'dansktop']"
Sumita,[]
Billy Parsons,[]
Male singers with marimba,['haitian traditional']
Female singer from Corsica,[]
Shanti Devi,['rajasthani folk']
Astrid Varnay/Brünnhilde Friedland/Lieselotte Thomamüller/Elfriede Wild/Ruth Siewert/Eleanor Lausch/Hertha Töpper/Ira Malaniuk/Hanna Ludwig/Festspiel-Orchester Bayreuth /Herbert von Karajan,[]
Ranjan Joshi,[]
Irwin Corey,[]
Gianna Diozzi,[]
Buddy Weed,[]
P. Stark,[]
Turaiyur M. Rajagopala Sarma,[]
M. M. Dhandapani Desigar,[]
Sushma,[]
Francesco Merli,['italian tenor']
Hilde Zadek,[]
Macedonian woman with kaval,[]
Orchestra Sinfonica e Coro di Roma della RAI,[]
"Male singer, violinist, 'ud, durbakki, and kanoun players",[]
Bach Festival Orchestra 1950,[]
Dimervil Servers,['haitian traditional']
serginho do porto,[]
D. Gonzalez,[]
Lily Broberg,['dansktop']
Priyadarshi,[]
Jatileswar Mukherjee,[]
Arnold Eidus,[]
E. Del Rio,[]
Niño Ricardo and la Niña de los Peines,[]
Quatuor Budapest,['historic string quartet']
Ann Crowley,[]
"Male Bokharian singer, tar and doyra players",[]
The Buddy Cole Quartet,[]
Young man with tamburica,[]
Mumtaz Ali Khan,['pakistani folk']
Chorus of Croatian men and women,[]
Carl Komczak,[]
Salvatore di Tommaso,[]
Girija,[]
Rajhans,[]
Paolo Silveri,['italian baritone']
Billy Rose,[]
Leo Rowsome,['uilleann pipes']
Grethe Thordal,[]
T.G.Saraswathi,[]
R.N. Paradkar,[]
silvinho da beija-flor,[]
