name,genres
Fats Waller,"['adult standards', 'bebop', 'dixieland', 'harlem renaissance', 'jazz', 'jazz piano', 'ragtime', 'stride', 'swing', 'tin pan alley', 'vocal jazz']"
Burning Spear,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']"
The Hold Steady,"['alternative country', 'alternative rock', 'heartland rock', 'indie rock', 'roots rock']"
Art Tatum,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'stride', 'swing', 'vintage jazz']"
David Pomeranz,"['opm', 'soft rock']"
Royal Bliss,"['alternative metal', 'heartland rock', 'post-grunge']"
Danny Kaye,['comic']
The Ray Conniff Singers,"['adult standards', 'easy listening', 'lounge']"
Stuttgart Chamber Orchestra,['chamber orchestra']
Naturally 7,['a cappella']
Czech Philharmonic Orchestra,"['classical', 'classical performance', 'orchestra']"
Kyla,['opm']
The Big Bopper,"['doo-wop', 'rock-and-roll', 'rockabilly']"
Hale,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']"
Roy Brown,"['jump blues', 'rhythm and blues']"
Martin Nievera,"['adult standards', 'classic opm', 'opm', 'papuri', 'soft rock']"
Little Walter,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'rock-and-roll', 'traditional blues']"
Billy Boyd,['middle earth']
Pilot,"['bubblegum pop', 'classic uk pop', 'glam rock']"
Laura Michelle Kelly,['west end']
Aiden,"['horror punk', 'pop punk', 'screamo']"
Sleep Rain,"['environmental', 'sleep']"
Julian Bream,['classical guitar']
Mantovani,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
Jost Michaels,[]
Orchestra Del Teatro Dell'Opera Di Roma,"['italian orchestra', 'opera']"
London Symphony Chorus,['british choir']
The Von Bondies,"['dance-punk', 'garage rock', 'punk blues']"
Ogie Alcasid,"['classic opm', 'opm']"
Barry McGuire,"['bubblegum pop', 'folk rock']"
Michel Plasson,['orchestral performance']
Henri Salvador,"['chanson', 'french pop']"
Jean-François Paillard,['orchestral performance']
Prague Symphony Orchestra,['orchestra']
Hannah Georgas,"['canadian indie', 'canadian singer-songwriter', 'deep new americana', 'vancouver indie']"
Mikhail Glinka,"['early romantic era', 'russian romanticism']"
Bamboo,"['opm', 'pinoy rock', 'pop rock']"
Karl Münchinger,[]
Echoes Of Nature,['environmental']
Marc Minkowski,"['classical performance', 'historically informed performance', 'opera', 'orchestral performance']"
Unnikrishnan,"['deep indian pop', 'filmi', 'tamil pop']"
Bird Thongchai,"['classic thai pop', 'thai pop']"
"Sounds of Nature White Noise for Mindfulness, Meditation and Relaxation","['environmental', 'mindfulness', 'sleep']"
Wojciech Kilar,"['classic soundtrack', 'polish contemporary classical', 'soundtrack']"
Guitar Instrumentals,[]
Vanessa-Mae,"['bow pop', 'pop violin', 'violin']"
Moscow Radio Symphony Orchestra,['radio symphony']
Gordon Macrae,[]
Sugarfree,"['opm', 'pinoy rock', 'pop rock']"
Brooke Evers,[]
The Four Aces,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']"
Ferrante & Teicher,"['adult standards', 'easy listening', 'exotica', 'lounge']"
Maurice Jarre,"['classic soundtrack', 'french soundtrack', 'soundtrack']"
Manuel Ponce,"['latin classical', 'mexican classical']"
Borodin Quartet,"['classical', 'classical performance', 'string quartet']"
Orchestre de l'Opéra National de Paris,"['french orchestra', 'opera']"
Billy May,"['adult standards', 'big band', 'easy listening', 'exotica', 'laboratorio', 'lounge', 'swing']"
Betty Carter,['vocal jazz']
Jamie Rivera,"['classic opm', 'opm', 'papuri', 'pinoy praise']"
Soothing White Noise for Sleeping Babies,['sleep']
Milton Katims,[]
RIAS Kammerchor,"['chamber choir', 'choral', 'classical performance', 'german choir']"
Blind Willie McTell,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'old-time', 'piedmont blues', 'traditional blues', 'traditional folk']"
Sleeping Music Zone,[]
Kids Party Music Players,[]
Pezet,['polish hip hop']
Grinderman,"['garage rock', 'punk blues']"
Starsailor,"['britpop', 'lancashire indie', 'piano rock']"
ROMES,[]
"Lambert, Hendricks & Ross","['vocal harmony group', 'vocal jazz']"
Swarnalatha,"['deep indian pop', 'filmi', 'tamil pop']"
